IDCode,narrative_text
paxi044,Accuracy low; speed fast; timing highly variable; correct streak short; incorrect streak long; consecutive correct rare.
nycu731,Accuracy high; speed fast; timing stable; correct streak long; incorrect streak short; consecutive correct frequent.
raxy329,Accuracy medium; speed fast; timing moderately variable; correct streak long; incorrect streak short; consecutive correct occasional.
nyfe489,Accuracy high; speed moderate; timing highly variable; correct streak long; incorrect streak short; consecutive correct frequent.
texu966,Accuracy low; speed fast; timing stable; correct streak moderate; incorrect streak long; consecutive correct rare.
kifo712,Accuracy low; speed fast; timing stable; correct streak short; incorrect streak long; consecutive correct rare.
pajo050,Accuracy low; speed fast; timing moderately variable; correct streak moderate; incorrect streak long; consecutive correct occasional.
hefy659,Accuracy low; speed fast; timing stable; correct streak short; incorrect streak long; consecutive correct rare.
tujy672,Accuracy medium; speed fast; timing stable; correct streak long; incorrect streak long; consecutive correct frequent.
cyfe247,Accuracy low; speed fast; timing stable; correct streak short; incorrect streak long; consecutive correct rare.
xori482,Accuracy medium; speed fast; timing stable; correct streak moderate; incorrect streak long; consecutive correct occasional.
raje697,Accuracy high; speed slow; timing moderately variable; correct streak long; incorrect streak moderate; consecutive correct frequent.
biwu043,Accuracy low; speed moderate; timing stable; correct streak long; incorrect streak long; consecutive correct occasional.
cylu852,Accuracy high; speed slow; timing highly variable; correct streak moderate; incorrect streak short; consecutive correct occasional.
fode209,Accuracy medium; speed slow; timing highly variable; correct streak short; incorrect streak long; consecutive correct occasional.
woju333,Accuracy low; speed fast; timing moderately variable; correct streak moderate; incorrect streak long; consecutive correct occasional.
saca329,Accuracy high; speed moderate; timing moderately variable; correct streak long; incorrect streak short; consecutive correct frequent.
jizi110,Accuracy medium; speed moderate; timing highly variable; correct streak moderate; incorrect streak moderate; consecutive correct occasional.
vyxi492,Accuracy high; speed fast; timing moderately variable; correct streak long; incorrect streak short; consecutive correct frequent.
xehy451,Accuracy medium; speed slow; timing highly variable; correct streak long; incorrect streak short; consecutive correct occasional.
feke878,Accuracy low; speed slow; timing highly variable; correct streak moderate; incorrect streak moderate; consecutive correct rare.
rozu771,Accuracy medium; speed slow; timing highly variable; correct streak moderate; incorrect streak long; consecutive correct occasional.
duvi856,Accuracy high; speed moderate; timing highly variable; correct streak long; incorrect streak short; consecutive correct frequent.
nexu635,Accuracy medium; speed moderate; timing moderately variable; correct streak moderate; incorrect streak moderate; consecutive correct occasional.
cozi454,Accuracy low; speed slow; timing highly variable; correct streak short; incorrect streak moderate; consecutive correct rare.
saze236,Accuracy medium; speed slow; timing highly variable; correct streak long; incorrect streak long; consecutive correct occasional.
quzy338,Accuracy medium; speed slow; timing moderately variable; correct streak short; incorrect streak moderate; consecutive correct occasional.
lula174,Accuracy high; speed moderate; timing moderately variable; correct streak long; incorrect streak short; consecutive correct frequent.
buzo685,Accuracy low; speed moderate; timing moderately variable; correct streak short; incorrect streak short; consecutive correct rare.
huby293,Accuracy high; speed slow; timing highly variable; correct streak long; incorrect streak short; consecutive correct frequent.
dyhi182,Accuracy medium; speed slow; timing highly variable; correct streak long; incorrect streak short; consecutive correct occasional.
tatu362,Accuracy high; speed slow; timing highly variable; correct streak short; incorrect streak short; consecutive correct frequent.
bene344,Accuracy medium; speed moderate; timing highly variable; correct streak short; incorrect streak short; consecutive correct occasional.
keho061,Accuracy low; speed moderate; timing moderately variable; correct streak short; incorrect streak long; consecutive correct rare.
vyxy108,Accuracy medium; speed moderate; timing moderately variable; correct streak moderate; incorrect streak long; consecutive correct occasional.
zusa663,Accuracy high; speed moderate; timing moderately variable; correct streak moderate; incorrect streak short; consecutive correct frequent.
nehe056,Accuracy high; speed fast; timing moderately variable; correct streak long; incorrect streak short; consecutive correct frequent.
myve834,Accuracy high; speed fast; timing moderately variable; correct streak long; incorrect streak short; consecutive correct frequent.
tyhy481,Accuracy low; speed slow; timing highly variable; correct streak moderate; incorrect streak long; consecutive correct rare.
sati762,Accuracy medium; speed moderate; timing highly variable; correct streak long; incorrect streak long; consecutive correct occasional.
biku776,Accuracy low; speed moderate; timing highly variable; correct streak short; incorrect streak moderate; consecutive correct rare.
wify666,Accuracy high; speed moderate; timing moderately variable; correct streak long; incorrect streak short; consecutive correct frequent.
sony276,Accuracy high; speed moderate; timing moderately variable; correct streak long; incorrect streak moderate; consecutive correct frequent.
tusi463,Accuracy medium; speed moderate; timing highly variable; correct streak moderate; incorrect streak moderate; consecutive correct occasional.
baco446,Accuracy low; speed moderate; timing stable; correct streak moderate; incorrect streak long; consecutive correct rare.
coni238,Accuracy medium; speed moderate; timing stable; correct streak long; incorrect streak long; consecutive correct frequent.
tuvu087,Accuracy low; speed moderate; timing stable; correct streak moderate; incorrect streak long; consecutive correct rare.
vuci475,Accuracy low; speed moderate; timing stable; correct streak short; incorrect streak long; consecutive correct occasional.
seto741,Accuracy low; speed fast; timing stable; correct streak short; incorrect streak long; consecutive correct rare.
jewe923,Accuracy medium; speed moderate; timing stable; correct streak long; incorrect streak long; consecutive correct frequent.
jaqy340,Accuracy medium; speed moderate; timing moderately variable; correct streak long; incorrect streak long; consecutive correct occasional.
pubu440,Accuracy low; speed fast; timing stable; correct streak short; incorrect streak long; consecutive correct rare.
gyjy255,Accuracy medium; speed moderate; timing stable; correct streak long; incorrect streak long; consecutive correct occasional.
zyte492,Accuracy high; speed fast; timing moderately variable; correct streak moderate; incorrect streak short; consecutive correct frequent.
ruco451,Accuracy low; speed moderate; timing moderately variable; correct streak moderate; incorrect streak long; consecutive correct occasional.
loda300,Accuracy medium; speed fast; timing stable; correct streak long; incorrect streak long; consecutive correct occasional.
moly152,Accuracy low; speed moderate; timing stable; correct streak moderate; incorrect streak long; consecutive correct rare.
cuba307,Accuracy medium; speed moderate; timing moderately variable; correct streak long; incorrect streak long; consecutive correct occasional.
jupo405,Accuracy low; speed moderate; timing stable; correct streak short; incorrect streak long; consecutive correct rare.
xuke183,Accuracy medium; speed fast; timing stable; correct streak moderate; incorrect streak moderate; consecutive correct occasional.
mado232,Accuracy low; speed slow; timing moderately variable; correct streak short; incorrect streak long; consecutive correct rare.
zafy372,Accuracy high; speed moderate; timing stable; correct streak long; incorrect streak short; consecutive correct frequent.
gyly160,Accuracy low; speed fast; timing stable; correct streak moderate; incorrect streak long; consecutive correct rare.
tapi010,Accuracy low; speed fast; timing stable; correct streak short; incorrect streak long; consecutive correct rare.
gelu604,Accuracy high; speed fast; timing stable; correct streak long; incorrect streak short; consecutive correct frequent.
qiqi041,Accuracy low; speed moderate; timing stable; correct streak moderate; incorrect streak long; consecutive correct occasional.
ratu271,Accuracy medium; speed fast; timing highly variable; correct streak long; incorrect streak moderate; consecutive correct occasional.
kyqu130,Accuracy high; speed fast; timing stable; correct streak long; incorrect streak short; consecutive correct frequent.
lucu601,Accuracy high; speed fast; timing stable; correct streak long; incorrect streak short; consecutive correct frequent.
kama922,Accuracy medium; speed moderate; timing highly variable; correct streak short; incorrect streak moderate; consecutive correct occasional.
zoma564,Accuracy medium; speed fast; timing stable; correct streak moderate; incorrect streak long; consecutive correct occasional.
puju088,Accuracy medium; speed slow; timing highly variable; correct streak moderate; incorrect streak short; consecutive correct occasional.
jufy997,Accuracy high; speed slow; timing highly variable; correct streak moderate; incorrect streak short; consecutive correct frequent.
wyja070,Accuracy medium; speed moderate; timing highly variable; correct streak short; incorrect streak moderate; consecutive correct occasional.
dasy955,Accuracy medium; speed fast; timing stable; correct streak moderate; incorrect streak short; consecutive correct occasional.
wyki565,Accuracy low; speed fast; timing stable; correct streak moderate; incorrect streak moderate; consecutive correct rare.
garu074,Accuracy high; speed fast; timing stable; correct streak moderate; incorrect streak moderate; consecutive correct frequent.
qyxy586,Accuracy high; speed moderate; timing highly variable; correct streak long; incorrect streak moderate; consecutive correct frequent.
kegi864,Accuracy high; speed fast; timing moderately variable; correct streak long; incorrect streak short; consecutive correct frequent.
gyge774,Accuracy medium; speed fast; timing moderately variable; correct streak long; incorrect streak short; consecutive correct occasional.
vyda893,Accuracy low; speed fast; timing stable; correct streak short; incorrect streak long; consecutive correct rare.
vuvy608,Accuracy high; speed moderate; timing highly variable; correct streak long; incorrect streak short; consecutive correct frequent.
vizo712,Accuracy high; speed fast; timing stable; correct streak moderate; incorrect streak short; consecutive correct occasional.
givi158,Accuracy low; speed slow; timing highly variable; correct streak short; incorrect streak long; consecutive correct rare.
caro445,Accuracy high; speed moderate; timing moderately variable; correct streak long; incorrect streak moderate; consecutive correct frequent.
nene689,Accuracy high; speed moderate; timing highly variable; correct streak long; incorrect streak short; consecutive correct frequent.
ryfy568,Accuracy low; speed fast; timing stable; correct streak short; incorrect streak short; consecutive correct rare.
johy783,Accuracy low; speed slow; timing highly variable; correct streak short; incorrect streak long; consecutive correct rare.
sulo956,Accuracy low; speed slow; timing highly variable; correct streak short; incorrect streak moderate; consecutive correct rare.
gony054,Accuracy high; speed moderate; timing highly variable; correct streak moderate; incorrect streak short; consecutive correct frequent.
puca767,Accuracy medium; speed slow; timing highly variable; correct streak moderate; incorrect streak short; consecutive correct occasional.
baky109,Accuracy low; speed moderate; timing stable; correct streak short; incorrect streak long; consecutive correct rare.
mabo887,Accuracy medium; speed moderate; timing moderately variable; correct streak moderate; incorrect streak moderate; consecutive correct occasional.
cona428,Accuracy high; speed moderate; timing highly variable; correct streak long; incorrect streak short; consecutive correct frequent.
lilo882,Accuracy medium; speed moderate; timing moderately variable; correct streak moderate; incorrect streak short; consecutive correct occasional.
gycy436,Accuracy medium; speed moderate; timing moderately variable; correct streak long; incorrect streak long; consecutive correct occasional.
jyri631,Accuracy high; speed slow; timing highly variable; correct streak long; incorrect streak short; consecutive correct frequent.
safu128,Accuracy high; speed slow; timing moderately variable; correct streak long; incorrect streak short; consecutive correct frequent.
fore104,Accuracy high; speed moderate; timing moderately variable; correct streak moderate; incorrect streak short; consecutive correct frequent.
zabe850,Accuracy high; speed moderate; timing moderately variable; correct streak long; incorrect streak short; consecutive correct frequent.
woci389,Accuracy medium; speed slow; timing highly variable; correct streak moderate; incorrect streak short; consecutive correct occasional.
kygi723,Accuracy medium; speed slow; timing highly variable; correct streak long; incorrect streak long; consecutive correct frequent.
qejy219,Accuracy high; speed moderate; timing moderately variable; correct streak moderate; incorrect streak short; consecutive correct frequent.
jago498,Accuracy high; speed moderate; timing highly variable; correct streak moderate; incorrect streak short; consecutive correct frequent.
buby593,Accuracy high; speed fast; timing stable; correct streak long; incorrect streak short; consecutive correct frequent.
dapu822,Accuracy high; speed slow; timing highly variable; correct streak moderate; incorrect streak moderate; consecutive correct frequent.
sugu976,Accuracy low; speed fast; timing stable; correct streak short; incorrect streak long; consecutive correct rare.
wuxa997,Accuracy low; speed slow; timing moderately variable; correct streak moderate; incorrect streak long; consecutive correct occasional.
tiqy778,Accuracy high; speed fast; timing stable; correct streak long; incorrect streak short; consecutive correct occasional.
xyfe491,Accuracy low; speed moderate; timing moderately variable; correct streak short; incorrect streak long; consecutive correct rare.
ryhy064,Accuracy high; speed fast; timing moderately variable; correct streak long; incorrect streak moderate; consecutive correct frequent.
kufi222,Accuracy medium; speed fast; timing stable; correct streak long; incorrect streak long; consecutive correct occasional.
xaja332,Accuracy medium; speed moderate; timing moderately variable; correct streak moderate; incorrect streak long; consecutive correct occasional.
fofa613,Accuracy low; speed fast; timing stable; correct streak short; incorrect streak long; consecutive correct rare.
viba035,Accuracy low; speed moderate; timing moderately variable; correct streak moderate; incorrect streak long; consecutive correct rare.
qewy924,Accuracy high; speed fast; timing stable; correct streak moderate; incorrect streak moderate; consecutive correct frequent.
pytu496,Accuracy medium; speed fast; timing moderately variable; correct streak moderate; incorrect streak moderate; consecutive correct occasional.
tosa657,Accuracy high; speed fast; timing stable; correct streak moderate; incorrect streak short; consecutive correct frequent.
keri121,Accuracy high; speed fast; timing stable; correct streak long; incorrect streak short; consecutive correct frequent.
bofi991,Accuracy low; speed moderate; timing moderately variable; correct streak moderate; incorrect streak long; consecutive correct rare.
bihi184,Accuracy low; speed fast; timing stable; correct streak short; incorrect streak long; consecutive correct rare.
piro376,Accuracy medium; speed slow; timing highly variable; correct streak long; incorrect streak long; consecutive correct occasional.
zejy480,Accuracy low; speed moderate; timing highly variable; correct streak short; incorrect streak long; consecutive correct rare.
zapy404,Accuracy low; speed slow; timing moderately variable; correct streak short; incorrect streak long; consecutive correct rare.
lusi512,Accuracy medium; speed slow; timing highly variable; correct streak moderate; incorrect streak long; consecutive correct occasional.
sedo490,Accuracy low; speed moderate; timing stable; correct streak short; incorrect streak long; consecutive correct rare.
davu999,Accuracy medium; speed moderate; timing moderately variable; correct streak moderate; incorrect streak short; consecutive correct occasional.
buby236,Accuracy low; speed fast; timing moderately variable; correct streak short; incorrect streak long; consecutive correct rare.
weru214,Accuracy medium; speed fast; timing stable; correct streak moderate; incorrect streak short; consecutive correct occasional.
tyly265,Accuracy low; speed slow; timing highly variable; correct streak short; incorrect streak long; consecutive correct rare.
nise834,Accuracy low; speed moderate; timing moderately variable; correct streak short; incorrect streak long; consecutive correct rare.
voxy002,Accuracy low; speed fast; timing stable; correct streak short; incorrect streak long; consecutive correct rare.
fypi681,Accuracy medium; speed moderate; timing highly variable; correct streak short; incorrect streak long; consecutive correct occasional.
xopa120,Accuracy low; speed fast; timing stable; correct streak short; incorrect streak long; consecutive correct rare.
wari483,Accuracy low; speed slow; timing moderately variable; correct streak long; incorrect streak long; consecutive correct occasional.
kegy317,Accuracy medium; speed fast; timing moderately variable; correct streak long; incorrect streak short; consecutive correct occasional.
geka905,Accuracy medium; speed slow; timing highly variable; correct streak long; incorrect streak short; consecutive correct occasional.
lore323,Accuracy low; speed moderate; timing stable; correct streak short; incorrect streak long; consecutive correct rare.
vane668,Accuracy high; speed slow; timing highly variable; correct streak long; incorrect streak short; consecutive correct frequent.
zuxy510,Accuracy low; speed fast; timing stable; correct streak short; incorrect streak long; consecutive correct rare.
masu336,Accuracy medium; speed fast; timing stable; correct streak short; incorrect streak short; consecutive correct occasional.
xise560,Accuracy medium; speed moderate; timing moderately variable; correct streak short; incorrect streak long; consecutive correct occasional.
zomi496,Accuracy low; speed slow; timing highly variable; correct streak short; incorrect streak long; consecutive correct rare.
lilu285,Accuracy low; speed slow; timing highly variable; correct streak short; incorrect streak long; consecutive correct rare.
heqi003,Accuracy low; speed fast; timing highly variable; correct streak short; incorrect streak long; consecutive correct rare.
jise415,Accuracy high; speed fast; timing stable; correct streak long; incorrect streak short; consecutive correct frequent.
vabe169,Accuracy high; speed moderate; timing moderately variable; correct streak long; incorrect streak short; consecutive correct frequent.
kofa904,Accuracy low; speed slow; timing highly variable; correct streak short; incorrect streak long; consecutive correct rare.
peqo117,Accuracy low; speed fast; timing stable; correct streak short; incorrect streak long; consecutive correct rare.
gaho243,Accuracy medium; speed slow; timing moderately variable; correct streak moderate; incorrect streak moderate; consecutive correct occasional.
mude815,Accuracy low; speed fast; timing stable; correct streak short; incorrect streak long; consecutive correct rare.
raxe285,Accuracy low; speed fast; timing stable; correct streak moderate; incorrect streak long; consecutive correct occasional.
qami382,Accuracy high; speed moderate; timing moderately variable; correct streak moderate; incorrect streak short; consecutive correct frequent.
bebo956,Accuracy low; speed slow; timing moderately variable; correct streak short; incorrect streak long; consecutive correct rare.
cofi309,Accuracy medium; speed slow; timing highly variable; correct streak long; incorrect streak short; consecutive correct frequent.
buqe642,Accuracy high; speed fast; timing moderately variable; correct streak moderate; incorrect streak short; consecutive correct frequent.
vuzo690,Accuracy medium; speed slow; timing highly variable; correct streak moderate; incorrect streak short; consecutive correct occasional.
posy958,Accuracy high; speed moderate; timing moderately variable; correct streak long; incorrect streak long; consecutive correct frequent.
gaga585,Accuracy medium; speed fast; timing stable; correct streak long; incorrect streak moderate; consecutive correct occasional.
vopa930,Accuracy medium; speed moderate; timing moderately variable; correct streak short; incorrect streak short; consecutive correct occasional.
xutu412,Accuracy high; speed moderate; timing moderately variable; correct streak long; incorrect streak short; consecutive correct frequent.
doxi119,Accuracy low; speed moderate; timing highly variable; correct streak short; incorrect streak long; consecutive correct rare.
feqy379,Accuracy high; speed moderate; timing stable; correct streak long; incorrect streak moderate; consecutive correct frequent.
xypo299,Accuracy low; speed slow; timing moderately variable; correct streak short; incorrect streak long; consecutive correct rare.
gahu141,Accuracy high; speed fast; timing stable; correct streak moderate; incorrect streak short; consecutive correct frequent.
kyse146,Accuracy high; speed moderate; timing moderately variable; correct streak long; incorrect streak short; consecutive correct frequent.
sedi312,Accuracy medium; speed moderate; timing stable; correct streak moderate; incorrect streak short; consecutive correct frequent.
nasi298,Accuracy high; speed moderate; timing moderately variable; correct streak long; incorrect streak short; consecutive correct frequent.
naky151,Accuracy low; speed slow; timing highly variable; correct streak short; incorrect streak long; consecutive correct rare.
koqa816,Accuracy high; speed moderate; timing moderately variable; correct streak long; incorrect streak short; consecutive correct frequent.
sila763,Accuracy high; speed moderate; timing stable; correct streak long; incorrect streak short; consecutive correct frequent.
pody147,Accuracy high; speed fast; timing moderately variable; correct streak long; incorrect streak short; consecutive correct frequent.
voza333,Accuracy high; speed moderate; timing stable; correct streak long; incorrect streak short; consecutive correct frequent.
tiro932,Accuracy medium; speed moderate; timing moderately variable; correct streak moderate; incorrect streak short; consecutive correct occasional.
wujy562,Accuracy high; speed moderate; timing highly variable; correct streak moderate; incorrect streak short; consecutive correct frequent.
hamu369,Accuracy high; speed slow; timing highly variable; correct streak long; incorrect streak short; consecutive correct frequent.
nape687,Accuracy low; speed slow; timing highly variable; correct streak short; incorrect streak long; consecutive correct rare.
gevi782,Accuracy medium; speed slow; timing highly variable; correct streak long; incorrect streak long; consecutive correct occasional.
qoha890,Accuracy high; speed fast; timing stable; correct streak long; incorrect streak short; consecutive correct frequent.
fili803,Accuracy high; speed fast; timing stable; correct streak long; incorrect streak short; consecutive correct frequent.
puce552,Accuracy low; speed moderate; timing stable; correct streak short; incorrect streak long; consecutive correct rare.
buny935,Accuracy medium; speed fast; timing stable; correct streak long; incorrect streak moderate; consecutive correct occasional.
pimi228,Accuracy medium; speed moderate; timing highly variable; correct streak short; incorrect streak short; consecutive correct rare.
kyjo289,Accuracy medium; speed slow; timing moderately variable; correct streak long; incorrect streak short; consecutive correct occasional.
bepo134,Accuracy high; speed moderate; timing stable; correct streak long; incorrect streak long; consecutive correct frequent.
kise589,Accuracy high; speed slow; timing moderately variable; correct streak long; incorrect streak short; consecutive correct frequent.
remi231,Accuracy medium; speed slow; timing moderately variable; correct streak short; incorrect streak long; consecutive correct rare.
qyjo579,Accuracy medium; speed moderate; timing highly variable; correct streak short; incorrect streak short; consecutive correct occasional.
cyhu257,Accuracy low; speed moderate; timing stable; correct streak moderate; incorrect streak long; consecutive correct rare.
diha837,Accuracy medium; speed fast; timing moderately variable; correct streak moderate; incorrect streak short; consecutive correct occasional.
ware232,Accuracy high; speed slow; timing highly variable; correct streak long; incorrect streak short; consecutive correct frequent.
hyge979,Accuracy high; speed moderate; timing highly variable; correct streak moderate; incorrect streak short; consecutive correct frequent.
biqe951,Accuracy medium; speed moderate; timing stable; correct streak moderate; incorrect streak moderate; consecutive correct occasional.
jide437,Accuracy high; speed moderate; timing moderately variable; correct streak long; incorrect streak short; consecutive correct frequent.
zipu412,Accuracy high; speed fast; timing stable; correct streak long; incorrect streak short; consecutive correct occasional.
vate767,Accuracy high; speed fast; timing moderately variable; correct streak long; incorrect streak short; consecutive correct occasional.
mefy253,Accuracy high; speed slow; timing highly variable; correct streak moderate; incorrect streak moderate; consecutive correct frequent.
qafe413,Accuracy low; speed fast; timing stable; correct streak short; incorrect streak long; consecutive correct rare.
lota555,Accuracy low; speed fast; timing stable; correct streak short; incorrect streak long; consecutive correct rare.
mecu237,Accuracy medium; speed moderate; timing highly variable; correct streak moderate; incorrect streak short; consecutive correct occasional.
cidy099,Accuracy high; speed fast; timing stable; correct streak long; incorrect streak short; consecutive correct frequent.
xoba600,Accuracy high; speed fast; timing highly variable; correct streak moderate; incorrect streak moderate; consecutive correct frequent.
joce161,Accuracy low; speed fast; timing stable; correct streak short; incorrect streak long; consecutive correct rare.
kywu572,Accuracy high; speed fast; timing stable; correct streak long; incorrect streak short; consecutive correct frequent.
jefi901,Accuracy high; speed fast; timing stable; correct streak moderate; incorrect streak short; consecutive correct frequent.
mari840,Accuracy medium; speed moderate; timing highly variable; correct streak long; incorrect streak long; consecutive correct occasional.
nypy058,Accuracy low; speed fast; timing stable; correct streak moderate; incorrect streak long; consecutive correct occasional.
rino885,Accuracy medium; speed fast; timing stable; correct streak long; incorrect streak short; consecutive correct occasional.
maju644,Accuracy low; speed fast; timing moderately variable; correct streak short; incorrect streak long; consecutive correct rare.
qosy291,Accuracy medium; speed fast; timing stable; correct streak moderate; incorrect streak short; consecutive correct occasional.
posy537,Accuracy high; speed fast; timing stable; correct streak long; incorrect streak short; consecutive correct frequent.
xoki390,Accuracy low; speed fast; timing moderately variable; correct streak short; incorrect streak long; consecutive correct rare.
fagi164,Accuracy low; speed moderate; timing stable; correct streak short; incorrect streak long; consecutive correct rare.
zozy719,Accuracy high; speed moderate; timing moderately variable; correct streak long; incorrect streak long; consecutive correct frequent.
bopa107,Accuracy high; speed fast; timing stable; correct streak long; incorrect streak long; consecutive correct frequent.
jyly989,Accuracy medium; speed fast; timing stable; correct streak short; incorrect streak short; consecutive correct rare.
togu404,Accuracy medium; speed moderate; timing stable; correct streak long; incorrect streak moderate; consecutive correct occasional.
gosa272,Accuracy low; speed moderate; timing moderately variable; correct streak moderate; incorrect streak long; consecutive correct rare.
fovo989,Accuracy high; speed fast; timing moderately variable; correct streak moderate; incorrect streak short; consecutive correct frequent.
sira606,Accuracy medium; speed moderate; timing stable; correct streak long; incorrect streak long; consecutive correct frequent.
loby351,Accuracy medium; speed moderate; timing moderately variable; correct streak moderate; incorrect streak long; consecutive correct occasional.
fike806,Accuracy medium; speed fast; timing stable; correct streak long; incorrect streak long; consecutive correct occasional.
fafe171,Accuracy low; speed slow; timing highly variable; correct streak short; incorrect streak long; consecutive correct rare.
zyvo780,Accuracy high; speed moderate; timing stable; correct streak long; incorrect streak short; consecutive correct frequent.
xune455,Accuracy medium; speed fast; timing moderately variable; correct streak moderate; incorrect streak long; consecutive correct occasional.
vamu972,Accuracy high; speed fast; timing moderately variable; correct streak long; incorrect streak short; consecutive correct frequent.
suzo040,Accuracy medium; speed slow; timing highly variable; correct streak moderate; incorrect streak moderate; consecutive correct rare.
wype120,Accuracy medium; speed fast; timing moderately variable; correct streak moderate; incorrect streak long; consecutive correct occasional.
jicu869,Accuracy low; speed moderate; timing stable; correct streak moderate; incorrect streak long; consecutive correct rare.
wero373,Accuracy high; speed moderate; timing stable; correct streak moderate; incorrect streak short; consecutive correct frequent.
juqo313,Accuracy high; speed fast; timing stable; correct streak long; incorrect streak moderate; consecutive correct frequent.
vexo008,Accuracy low; speed slow; timing highly variable; correct streak short; incorrect streak long; consecutive correct rare.
punu787,Accuracy low; speed slow; timing moderately variable; correct streak short; incorrect streak long; consecutive correct rare.
tomo782,Accuracy low; speed moderate; timing stable; correct streak short; incorrect streak long; consecutive correct rare.
cupe992,Accuracy low; speed moderate; timing moderately variable; correct streak short; incorrect streak long; consecutive correct rare.
kyjo535,Accuracy medium; speed fast; timing stable; correct streak moderate; incorrect streak moderate; consecutive correct occasional.
raja244,Accuracy medium; speed moderate; timing moderately variable; correct streak short; incorrect streak long; consecutive correct occasional.
pino324,Accuracy medium; speed slow; timing highly variable; correct streak moderate; incorrect streak long; consecutive correct occasional.
qutu379,Accuracy low; speed fast; timing moderately variable; correct streak moderate; incorrect streak long; consecutive correct rare.
nolu547,Accuracy low; speed slow; timing highly variable; correct streak short; incorrect streak moderate; consecutive correct rare.
cape571,Accuracy low; speed moderate; timing stable; correct streak short; incorrect streak long; consecutive correct rare.
coma628,Accuracy medium; speed slow; timing moderately variable; correct streak moderate; incorrect streak short; consecutive correct occasional.
mida684,Accuracy high; speed fast; timing moderately variable; correct streak long; incorrect streak short; consecutive correct frequent.
gaqe214,Accuracy high; speed fast; timing stable; correct streak moderate; incorrect streak short; consecutive correct frequent.
pufe463,Accuracy high; speed fast; timing moderately variable; correct streak long; incorrect streak short; consecutive correct frequent.
fifa517,Accuracy high; speed fast; timing stable; correct streak moderate; incorrect streak short; consecutive correct frequent.
wuzy577,Accuracy high; speed fast; timing stable; correct streak long; incorrect streak short; consecutive correct frequent.
sire515,Accuracy high; speed fast; timing moderately variable; correct streak long; incorrect streak short; consecutive correct frequent.
xyhi085,Accuracy high; speed fast; timing stable; correct streak long; incorrect streak moderate; consecutive correct frequent.
nexy906,Accuracy high; speed fast; timing stable; correct streak long; incorrect streak short; consecutive correct frequent.
pyzi618,Accuracy high; speed fast; timing highly variable; correct streak long; incorrect streak short; consecutive correct frequent.
muku118,Accuracy medium; speed fast; timing stable; correct streak moderate; incorrect streak moderate; consecutive correct occasional.
kewi488,Accuracy medium; speed fast; timing stable; correct streak short; incorrect streak moderate; consecutive correct occasional.
xafu780,Accuracy low; speed fast; timing stable; correct streak short; incorrect streak long; consecutive correct rare.
wowy820,Accuracy low; speed slow; timing moderately variable; correct streak short; incorrect streak long; consecutive correct rare.
ryzo168,Accuracy medium; speed moderate; timing moderately variable; correct streak moderate; incorrect streak short; consecutive correct occasional.
xavy753,Accuracy low; speed slow; timing highly variable; correct streak short; incorrect streak long; consecutive correct rare.
deje129,Accuracy low; speed slow; timing moderately variable; correct streak short; incorrect streak long; consecutive correct rare.
